14.388.516/0001-60,C:\desif\2018\14388516.DESIF,14.388.516/0001-60,14.388.516/0001-60
15.114.366/0002-40,C:\desif\2018\15114366.DESIF,15.114.366/0002-40,15.114.366/0002-40
15.213.150/0003-12,C:\desif\2018\15213150.DESIF,15.213.150/0003-12,15.213.150/0003-12
15.227.994/0001-50,C:\desif\2018\15227994.DESIF,15.227.994/0001-50,15.227.994/0001-50
17.157.777/0001-67,C:\desif\2018\17157777.DESIF,17.157.777/0001-67,17.157.777/0001-67
17.167.412/0071-26,C:\desif\2018\17167412.DESIF,17.167.412/0071-26,17.167.412/0071-26
17.184.037/0056-93,C:\desif\2018\17184037.DESIF,17.184.037/0056-93,17.184.037/0056-93
17.343.682/0001-38,C:\desif\2018\17343682.DESIF,17.343.682/0001-38,17.343.682/0001-38
17.351.180/0010-40,C:\desif\2018\17351180.DESIF,17.351.180/0010-40,17.351.180/0010-40
17.352.220/0001-87,C:\desif\2018\17352220.DESIF,17.352.220/0001-87,17.352.220/0001-87
17.354.911/0005-43,C:\desif\2018\17354911.DESIF,17.354.911/0005-43,17.354.911/0005-43
17.904.906/0001-33,C:\desif\2018\17904906.DESIF,17.904.906/0001-33,17.904.906/0001-33
21.040.668/0001-32,C:\desif\2018\21040668.DESIF,21.040.668/0001-32,21.040.668/0001-32
21.112.244/0001-36,C:\desif\2018\21112244.DESIF,21.112.244/0001-36,21.112.244/0001-36
24.933.830/0001-30,C:\desif\2018\24933830.DESIF,24.933.830/0001-30,24.933.830/0001-30
27.652.684/0001-62,C:\desif\2018\27652684.DESIF,27.652.684/0001-62,27.652.684/0001-62
28.048.783/0001-00,C:\desif\2018\28048783.DESIF,28.048.783/0001-00,28.048.783/0001-00
28.195.667/0006-10,C:\desif\2018\28195667.DESIF,28.195.667/0006-10,28.195.667/0006-10
29.650.082/0001-00,C:\desif\2018\29650082.DESIF,29.650.082/0001-00,29.650.082/0001-00
30.306.294/0001-45,C:\desif\2018\30306294.DESIF,30.306.294/0001-45,30.306.294/0001-45
30.723.886/0001-62,C:\desif\2018\30723886.DESIF,30.723.886/0001-62,30.723.886/0001-62
30.822.936/0001-69,C:\desif\2018\30822936.DESIF,30.822.936/0001-69,30.822.936/0001-69
31.597.552/0001-52,C:\desif\2018\31597552.DESIF,31.597.552/0001-52,31.597.552/0001-52
